,fecha,obs1,obs2,obs3,r1d1R,r2d1R,r1d1S,r2d1S,r1d2R,r2d2R,r1d2S,r2d2S,obs,year,month,day,hour
0,2020-03-02,1.016,0.994396,3.16,,,,,,,,,1.005198,2020,3,2,0
1,2020-03-03,11.43,10.327962,2.58,0.2741127461194983,1.7336200453839803,8.391198007354745,16.8838759786657,2.725504964590072,3.842432385790495,48.28871440887451,27.66066682809272,10.878981,2020,3,3,0
2,2020-03-04,1.524,1.617921,2.06,,,,,,,,,1.5709605,2020,3,4,0
3,2020-03-05,1.016,1.2746859999999998,0.07,24.9146548807621,27.51509893711984,10.657949924468994,10.647906028449256,36.93741607666016,46.21283944727698,65.63494777679443,70.71883431477357,1.145343,2020,3,5,0
4,2020-03-06,0.0,0.255701,0.0,29.975300654768944,33.79531629491935,71.86602300405502,67.01049269530743,26.458101272583008,34.04030891692413,74.4189453125,80.92979402698214,0.1278505,2020,3,6,0
5,2020-03-07,5.08,4.250948,0.09,23.013484746217728,17.114812308287046,61.92052263021469,49.95989912938114,25.269023895263675,26.92337143729328,67.66223526000977,75.35825507671098,4.665474,2020,3,7,0
6,2020-03-08,1.778,2.04278,1.31,0.0101834572851657,0.0084418712224129,0.0,1.5602107191307464e-08,0.0,2.565723195636994e-06,0.0067631286211309,0.0486209729209279,1.91039,2020,3,8,0
7,2020-03-09,0.762,1.099529,0.04,20.484182000160214,26.033505893114285,37.3794866388198,35.78494435245892,47.22187423706055,38.692297717008,16.807884216308594,15.539339750393708,0.9307645,2020,3,9,0
8,2020-03-10,0.0,0.088331,12.669999999999998,72.16463278979063,76.5936628913471,85.7075682580471,71.17595052255838,31.320213317871094,35.241016648271845,28.27509307861328,25.7564003868958,0.0441655,2020,3,10,0
9,2020-03-11,0.0,0.0094319999999999,0.0,47.49587368033826,27.346972978351747,30.71699465741404,15.139203380188402,38.24159622192383,30.56799070046912,58.6069221496582,67.72347289244237,0.0047159999999999,2020,3,11,0
10,2020-03-12,0.0,0.28993,0.5800000000000001,35.180686950683594,17.32445136933265,69.52177047729492,50.12858474545499,3.4272155761718746,1.7362783717817925,26.407058715820312,39.28832494871561,0.144965,2020,3,12,0
